"object","exemplar","state1","state2"
"sharpie_pens",2,"E:/PsychoPy/Images/sharpie_pens/e2_s1.jpg","E:/PsychoPy/Images/sharpie_pens/e2_s2.jpg"
"shoe",2,"E:/PsychoPy/Images/shoe/e2_s1.jpg","E:/PsychoPy/Images/shoe/e2_s2.jpg"
"small_box",2,"E:/PsychoPy/Images/small_box/e2_s1.jpg","E:/PsychoPy/Images/small_box/e2_s2.jpg"
"soap",2,"E:/PsychoPy/Images/soap/e2_s1.jpg","E:/PsychoPy/Images/soap/e2_s2.jpg"
"sponge",2,"E:/PsychoPy/Images/sponge/e2_s1.jpg","E:/PsychoPy/Images/sponge/e2_s2.jpg"
"sugar_bowl",2,"E:/PsychoPy/Images/sugar_bowl/e2_s1.jpg","E:/PsychoPy/Images/sugar_bowl/e2_s2.jpg"
"sugar_paper",2,"E:/PsychoPy/Images/sugar_paper/e2_s1.jpg","E:/PsychoPy/Images/sugar_paper/e2_s2.jpg"
"tape_dispenser",2,"E:/PsychoPy/Images/tape_dispenser/e2_s1.jpg","E:/PsychoPy/Images/tape_dispenser/e2_s2.jpg"
"tea_pot",2,"E:/PsychoPy/Images/tea_pot/e2_s1.jpg","E:/PsychoPy/Images/tea_pot/e2_s2.jpg"
"theater_seats",2,"E:/PsychoPy/Images/theater_seats/e2_s1.jpg","E:/PsychoPy/Images/theater_seats/e2_s2.jpg"
"tictac",2,"E:/PsychoPy/Images/tictac/e2_s1.jpg","E:/PsychoPy/Images/tictac/e2_s2.jpg"
"tissues",2,"E:/PsychoPy/Images/tissues/e2_s1.jpg","E:/PsychoPy/Images/tissues/e2_s2.jpg"
"toilet",2,"E:/PsychoPy/Images/toilet/e2_s1.jpg","E:/PsychoPy/Images/toilet/e2_s2.jpg"
"tool_box",2,"E:/PsychoPy/Images/tool_box/e2_s1.jpg","E:/PsychoPy/Images/tool_box/e2_s2.jpg"
"toy_truck",2,"E:/PsychoPy/Images/toy_truck/e2_s1.jpg","E:/PsychoPy/Images/toy_truck/e2_s2.jpg"
"tricycle",2,"E:/PsychoPy/Images/tricycle/e2_s1.jpg","E:/PsychoPy/Images/tricycle/e2_s2.jpg"
"typewriter",2,"E:/PsychoPy/Images/typewriter/e2_s1.jpg","E:/PsychoPy/Images/typewriter/e2_s2.jpg"
"umbrella",2,"E:/PsychoPy/Images/umbrella/e2_s1.jpg","E:/PsychoPy/Images/umbrella/e2_s2.jpg"
"usb_key",2,"E:/PsychoPy/Images/usb_key/e2_s1.jpg","E:/PsychoPy/Images/usb_key/e2_s2.jpg"
"wallet",2,"E:/PsychoPy/Images/wallet/e2_s1.jpg","E:/PsychoPy/Images/wallet/e2_s2.jpg"
"watch",2,"E:/PsychoPy/Images/watch/e2_s1.jpg","E:/PsychoPy/Images/watch/e2_s2.jpg"
"yarn",2,"E:/PsychoPy/Images/yarn/e2_s1.jpg","E:/PsychoPy/Images/yarn/e2_s2.jpg"
